protocol,time,analyte,mean,sd,n_obs
P2,1.5,POTASSIUM,4.3933,0.219,15
P2,2,POTASSIUM,4.6786,0.226,14
P2,24,POTASSIUM,4.3733,0.252,15
P2,3,POTASSIUM,4.2867,0.302,15
P2,6,POTASSIUM,4.0929,0.253,14
P3,0,POTASSIUM,4.1786,0.272,14
P3,0.5,POTASSIUM,5.2923,0.309,13
P3,1,POTASSIUM,5.1286,0.491,14
P3,1.5,POTASSIUM,4.3214,0.158,14
P3,2,POTASSIUM,4.5417,0.219,12
P3,24,POTASSIUM,4.2643,0.21,14
P3,3,POTASSIUM,4.4571,0.293,14
P3,6,POTASSIUM,4.0909,0.23,11
P4,0,POTASSIUM,4.14,0.192,15
P4,0.5,POTASSIUM,4.9357,0.191,14
P4,1,POTASSIUM,4.9867,0.253,15
P4,1.5,POTASSIUM,4.3933,0.263,15
P4,2,POTASSIUM,4.4286,0.23,14
P4,24,POTASSIUM,4.4562,0.261,16
P4,3,POTASSIUM,4.3733,0.215,15
P4,6,POTASSIUM,4.0286,0.243,14
P5,0,POTASSIUM,4.16,0.32,15
P5,0.5,POTASSIUM,5.1933,0.294,15
P5,1,POTASSIUM,5.2267,0.356,15
P5,1.5,POTASSIUM,4.3929,0.315,14
P5,2,POTASSIUM,4.65,0.346,14
P5,24,POTASSIUM,4.2929,0.305,14
P5,3,POTASSIUM,4.4533,0.29,15
P5,6,POTASSIUM,4.1333,0.261,15
P2,15,RPE,13.067,2.05,15
P2,30,RPE,15.929,1.98,15
P2,45,RPE,17.2,1.74,15
P2,60,RPE,17.633,2.14,15
P3,15,RPE,13.214,1.48,15
P3,30,RPE,16.643,1.98,15
P3,45,RPE,17.643,1.98,15
P3,60,RPE,18.5,1.02,15
P4,15,RPE,10.4,1.8,15
P4,30,RPE,11.267,1.75,15
P4,45,RPE,11.6,1.59,15
P4,60,RPE,11.667,1.76,15
P5,15,RPE,14.267,1.83,15
P5,30,RPE,15.667,2.5,15
P5,45,RPE,16.333,2.44,15
P5,60,RPE,17.214,2.78,14
P1,0,SODIUM,139.2,4.313,15
P1,0.5,SODIUM,138.8667,3.907,15
P1,1,SODIUM,138.6667,4.169,15
P1,1.5,SODIUM,138.2143,3.556,14
P1,2,SODIUM,138.0667,3.535,15
P1,24,SODIUM,138.2,2.484,15
P1,3,SODIUM,137.8,3.764,15
P1,6,SODIUM,138.3333,3.288,15
P2,0,SODIUM,138.4,2.558,15
P2,0.5,SODIUM,139.6429,2.17,14
P2,1,SODIUM,139.3333,3.155,15
P2,1.5,SODIUM,136.7333,2.187,15
P2,2,SODIUM,136.5,2.565,14
